City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Luderitz,NA,2020-09-01 03:38:04,-26.65,15.16,51.84,73,0,19.24
1,Portland,US,2020-09-01 03:35:04,45.52,-122.68,70.0,63,55,6.06
2,Khatanga,RU,2020-09-01 03:38:05,71.97,102.5,47.89,63,88,11.68
3,Busselton,AU,2020-09-01 03:38:05,-33.65,115.33,60.01,46,46,25.5
4,Rikitea,PF,2020-09-01 03:38:05,-23.12,-134.97,68.59,86,65,18.41
5,Ambon,ID,2020-09-01 03:38:05,-3.7,128.18,86.0,70,40,4.7
6,Pevek,RU,2020-09-01 03:38:06,69.7,170.31,37.26,89,97,11.77
7,Mataura,NZ,2020-09-01 03:38:06,-46.19,168.86,45.0,72,60,11.01
8,Castro,BR,2020-09-01 03:38:06,-24.79,-50.01,56.3,88,99,12.3
9,Vaini,TO,2020-09-01 03:38:07,-21.2,-175.2,80.6,83,75,10.29
10,Puerto Maldonado,PE,2020-09-01 03:38:07,-12.6,-69.18,70.39,95,100,0.83
11,Punta Arenas,CL,2020-09-01 03:38:07,-53.15,-70.92,37.4,88,0,21.92
12,Beira,MZ,2020-09-01 03:38:07,-19.84,34.84,68.0,94,75,6.93
13,Owen Sound,CA,2020-09-01 03:35:07,44.57,-80.94,63.0,92,100,8.9
14,Puerto Ayora,EC,2020-09-01 03:37:37,-0.74,-90.35,64.94,82,97,8.95
15,Gat,IL,2020-09-01 03:38:08,31.61,34.76,78.01,84,2,6.44
16,Erechim,BR,2020-09-01 03:38:08,-27.63,-52.27,57.52,96,97,9.08
17,Deputatskiy,RU,2020-09-01 03:38:09,69.3,139.9,45.01,59,69,12.15
18,Upernavik,GL,2020-09-01 03:38:09,72.79,-56.15,36.37,95,100,6.62
19,Mabaruma,GY,2020-09-01 03:38:09,8.2,-59.78,76.91,89,88,2.26
20,Lodja,CD,2020-09-01 03:38:09,-3.48,23.43,69.93,95,100,2.73
21,Husavik,IS,2020-09-01 03:38:10,66.04,-17.34,48.2,81,40,5.82
22,Srivardhan,IN,2020-09-01 03:38:10,18.03,73.02,82.15,79,91,3.78
23,Albany,US,2020-09-01 03:37:46,42.6,-73.97,64.99,73,50,4.16
24,Severo-Kurilsk,RU,2020-09-01 03:38:10,50.68,156.12,53.38,68,82,6.26
25,Yangjiang,CN,2020-09-01 03:37:08,21.85,111.97,93.0,55,37,2.64
26,Kahului,US,2020-09-01 03:38:11,20.89,-156.47,86.0,51,40,24.16
27,Yellowknife,CA,2020-09-01 03:37:14,62.46,-114.35,48.0,65,75,11.41
28,Ribeira Grande,PT,2020-09-01 03:38:11,38.52,-28.7,71.26,72,21,14.07
29,Cape Town,ZA,2020-09-01 03:38:11,-33.93,18.42,54.0,93,11,5.82
30,Ushuaia,AR,2020-09-01 03:38:12,-54.8,-68.3,37.4,92,75,33.33
31,Ixtapa,MX,2020-09-01 03:38:12,20.7,-105.2,78.01,100,90,8.05
32,Victoria,HK,2020-09-01 03:34:14,22.29,114.16,93.99,63,32,5.99
33,Kaeo,NZ,2020-09-01 03:38:12,-35.1,173.78,64.99,19,42,11.99
34,Saldanha,ZA,2020-09-01 03:38:13,-33.01,17.94,50.99,76,33,13.78
35,Port Alfred,ZA,2020-09-01 03:38:13,-33.59,26.89,57.09,74,100,16.71
36,Ancud,CL,2020-09-01 03:38:13,-41.87,-73.82,41.0,78,0,4.0
37,Grindavik,IS,2020-09-01 03:38:13,63.84,-22.43,50.0,100,90,9.17
38,Cayenne,GF,2020-09-01 03:38:14,4.93,-52.33,77.0,94,70,10.89
39,Kapaa,US,2020-09-01 03:38:14,22.08,-159.32,80.6,83,90,19.46
40,Yulara,AU,2020-09-01 03:38:14,-25.24,130.99,84.2,14,0,10.29
41,Lavrentiya,RU,2020-09-01 03:38:14,65.58,-171.0,43.52,74,100,12.35
42,Mahajanga,MG,2020-09-01 03:38:15,-15.72,46.32,68.0,64,20,4.7
43,Hithadhoo,MV,2020-09-01 03:38:15,-0.6,73.08,80.17,76,100,9.86
44,Jamestown,US,2020-09-01 03:34:41,42.1,-79.24,68.0,82,90,10.29
45,Kedrovyy,RU,2020-09-01 03:38:15,56.17,91.82,68.0,60,39,6.71
46,Tornio,FI,2020-09-01 03:38:16,65.85,24.15,30.2,100,18,2.24
47,Hasaki,JP,2020-09-01 03:38:16,35.73,140.83,81.0,78,75,12.75
48,Sakakah,SA,2020-09-01 03:38:16,29.97,40.21,78.8,10,0,9.17
49,Naze,JP,2020-09-01 03:38:16,28.37,129.48,87.8,84,75,25.28
50,Dikson,RU,2020-09-01 03:38:17,73.51,80.55,46.98,82,46,5.39
51,Lensk,RU,2020-09-01 03:38:17,60.73,114.93,64.58,47,0,7.7
52,Esperance,AU,2020-09-01 03:38:17,-33.87,121.9,57.2,76,75,24.16
53,Praia Da Vitoria,PT,2020-09-01 03:38:17,38.73,-27.07,69.8,77,20,8.79
54,Japura,ID,2020-09-01 03:38:18,-0.32,102.35,88.9,55,61,6.08
55,Butaritari,KI,2020-09-01 03:38:18,3.07,172.79,84.63,71,54,8.03
56,Atuona,PF,2020-09-01 03:38:18,-9.8,-139.03,78.53,76,61,21.03
57,Codrington,AU,2020-09-01 03:38:19,-38.27,141.97,55.71,68,88,16.84
58,Klaksvik,FO,2020-09-01 03:38:19,62.23,-6.59,51.8,100,100,20.8
59,Hermanus,ZA,2020-09-01 03:38:19,-34.42,19.23,50.88,83,57,13.98
